Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
3516816813,"May 26, 2020, 7:43:56 PM",Afternoon Walk,Walk,,3462,4.89,,,false,,activities/3516816813.gpx,,,3462.0,3391.0,4896.39990234375,4.699999809265137,1.4439398050308228,116.17943572998047,117.77899932861328,49.29999923706055,110.5999984741211,50.0,-0.032677069306373596,,,77.0,57.572784423828125,,,,,475.2725830078125,,,,,,,,,3.0,,,,,0.0,28.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
3552894367,"Jun 2, 2020, 2:20:51 PM",Lunch Walk,Walk,,2999,3.62,,,false,,activities/3552894367.gpx,,,2999.0,2613.0,3620.199951171875,3.700000047683716,1.3854572772979736,84.85021209716797,88.05020141601562,47.79999923706055,111.0,31.0,-0.08839290589094162,,,83.0,61.56074905395508,,,,,351.3973083496094,,,,,,,,,3.0,,,,,0.0,21.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
3623081934,"Jun 16, 2020, 11:31:32 AM",Morning Walk,Walk,,1995,3.13,,,false,,activities/3623081934.gpx,,,1995.0,1995.0,3134.89990234375,4.099999904632568,1.571378469467163,89.44196319580078,23.941999435424805,33.400001525878906,110.5999984741211,35.400001525878906,2.0893807411193848,,,111.0,61.56321716308594,,,,,304.29132080078125,,,,,,,,,4.0,,,,,0.0,22.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.89999389648438,,,
4670570216,"Jan 23, 2021, 10:08:27 PM",Evening Ride,Ride,,3316,14.09,,,false,,activities/4670570216.gpx,,,3316.0,2999.0,14089.2998046875,13.5,4.697999477386475,132.6875762939453,132.68800354003906,15.0,105.4000015258789,18.200000762939453,0.0,,,,,,,,93.65315246582031,313.16552734375,,,,,,,,,7.0,,,,,0.0,95.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4015.199951171875,,,
4812144179,"Feb 19, 2021, 1:44:17 PM",Morning Ride,Ride,,3434,16.59,,,false,,activities/4812144179.gpx,,,3434.0,3124.0,16595.400390625,13.600000381469727,5.312227725982666,102.12483215332031,125.625,12.5,80.0,11.5,-0.14160551130771637,,,,,,,,90.59046173095703,315.5502624511719,,,,,,,,,4.0,,,,,0.0,34.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2863.199951171875,,,
5036302377,"Mar 30, 2021, 10:40:49 AM",Sprint na ergométrica,E-Bike Ride,,695,1.31,,,false,,activities/5036302377.gpx,,,695.0,615.0,1311.5999755859375,9.300000190734863,2.132683038711548,0.0,-0.10000000149011612,60.400001525878906,62.70000076293945,3.0999999046325684,0.007624275516718626,,,,,,,,94.34831237792969,64.69699096679688,,,,,,,,,8.0,,,,,0.0,26.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
5036349129,"Mar 30, 2021, 10:00:52 AM",Treino Dorsal,Workout,"",2400,0,,,false,,,,,2400.0,2400.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,26.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
5042916540,"Mar 31, 2021, 10:10:41 AM","Perna, braço bi+tri",Weight Training,"",3000,0,,,false,,,,,3000.0,3000.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,0.0,33.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
5073767245,"Apr 5, 2021, 1:21:06 PM",Strava bugadão pqp,Run,,696,3.50,,,false,,activities/5073767245.gpx,,,696.0,624.0,3503.0,23.200000762939453,5.613781929016113,44.746665954589844,7.5467000007629395,47.099998474121094,105.30000305175781,9.600000381469727,1.0619468688964844,,,42.0,0.0,,,,,349.54644775390625,,,,,,,,,,,,,,0.0,,0.0,,1.0,3647.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,
5082597694,"Apr 6, 2021, 3:00:01 PM",Peito+tri,Weight Training,"",3600,0,,,false,,,,,3600.0,3600.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,95.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
